index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
534,540.0 to 540.75,1,"[0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16,5
535,541.0 to 541.6666667000002,14,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,5
536,542.0 to 542.6666667000002,9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",dMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,5
537,543.0 to 543.75,11,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0,5
538,544.0 to 544.6666667000002,14,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,5
539,545.0 to 545.6666667000002,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16,5
540,546.0 to 546.75,16,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
541,547.0 to 547.6666667000002,16,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
542,548.0 to 548.6666667000002,14,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,5
543,549.0 to 549.9166667000002,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,5
544,550.0 to 550.75,16,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
545,551.0 to 551.75,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16,5
546,552.0 to 552.9166667000002,2,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
547,553.0 to 553.75,16,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
548,554.0 to 554.75,4,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
549,555.0 to 555.75,10,"[1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
550,556.0 to 556.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
551,557.0 to 557.875,13,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12,5
552,558.0 to 558.75,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,5
553,559.0 to 559.75,18,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,5
554,560.0 to 560.75,15,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3,5
555,561.0 to 561.75,2,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
556,562.0 to 562.75,2,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
557,563.0 to 563.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
558,564.0 to 564.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,5
559,565.0 to 565.75,10,"[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
560,566.0 to 566.75,16,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,5
561,567.0 to 567.75,19,"[0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]",fMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
562,568.0 to 568.75,19,"[0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]",fMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
563,569.0 to 569.75,19,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0]",fMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
564,570.0 to 570.875,19,"[1, 0, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1,5
565,571.0 to 571.875,4,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,5
566,572.0 to 572.875,14,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,5
567,573.0 to 573.75,17,"[3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,5
568,574.0 to 574.75,18,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",eMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,5
569,575.0 to 575.75,15,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3,5
570,576.0 to 576.75,5,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,5
571,577.0 to 577.75,2,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",c#Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,5
572,578.0 to 578.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,5
