index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
42,42.0 to 42.625,12,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",8,dMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
43,43.0 to 43.5,3,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]",8,c#Major,Piano Sonata K570 ii Eb major.mid by Mozart.csv
44,44.0 to 44.5,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,cMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
45,45.0 to 45.66666667,18,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]",4,fMinor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
46,46.0 to 46.875,9,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
47,47.0 to 47.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
48,48.0 to 48.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
49,49.0 to 49.625,13,"[3, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
50,50.0 to 50.83333333,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
51,51.0 to 51.625,15,"[2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
52,52.0 to 52.5,2,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
53,53.0 to 53.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",9,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
54,54.0 to 54.75,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
55,55.0 to 55.75,5,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
56,56.0 to 56.0,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K570 ii Eb major.mid by Mozart.csv
